audio_path,duration,voiced_ratio,voiced_frames,f0_range,rms,keep,reason
data/self/1-1-2/speaker01_di1_02.wav,1.363563,0.279070,12,4.000000,0.094416,0,low_voiced_ratio
data/self/1-1-2/speaker01_dong1_02.wav,1.363563,0.255814,11,4.000000,0.065205,0,low_voiced_ratio
data/self/1-1-2/speaker01_xi1_02.wav,1.363563,0.209302,9,4.000000,0.076512,0,low_voiced_ratio
data/self/1-1-2/speaker01_sheng1_02.wav,1.363563,0.209302,9,4.000000,0.052066,0,low_voiced_ratio
data/self/1-1-2/speaker01_guang1_02.wav,1.363563,0.255814,11,4.000000,0.093747,0,low_voiced_ratio
data/self/1-1-2/speaker01_kong1_02.wav,1.363563,0.232558,10,4.000000,0.060922,0,low_voiced_ratio
data/self/1-1-3/speaker01_ma1_03.wav,2.741500,0.500000,43,4.000000,0.043870,0,duration_too_long
data/self/1-1-3/speaker01_ba1_03.wav,2.741500,0.139535,12,4.000000,0.057107,0,duration_too_long
data/self/1-1-3/speaker01_hua1_03.wav,2.741500,0.453488,39,4.000000,0.056253,0,duration_too_long
data/self/1-1-3/speaker01_shu1_03.wav,2.741500,0.127907,11,4.000000,0.046895,0,duration_too_long
data/self/1-1-3/speaker01_tian1_03.wav,2.741500,0.162791,14,4.000000,0.055739,0,duration_too_long
data/self/1-1-3/speaker01_jia1_03.wav,2.741500,0.162791,14,4.000000,0.064814,0,duration_too_long
data/self/1-1-3/speaker01_shan1_03.wav,2.741500,0.151163,13,4.000000,0.046073,0,duration_too_long
data/self/1-1-3/speaker01_che1_03.wav,2.741500,0.348837,30,4.000000,0.050124,0,duration_too_long
data/self/1-1-3/speaker01_fei1_03.wav,2.741500,0.534884,46,4.000000,0.051991,0,duration_too_long
data/self/1-1-3/speaker01_mao1_03.wav,2.741500,0.186047,16,4.000000,0.074395,0,duration_too_long
data/self/1-1-3/speaker01_ji1_03.wav,2.741500,0.151163,13,4.000000,0.061477,0,duration_too_long
data/self/1-1-3/speaker01_deng1_03.wav,2.741500,0.151163,13,4.000000,0.046197,0,duration_too_long
data/self/1-1-3/speaker01_feng1_03.wav,2.741500,0.139535,12,4.000000,0.041404,0,duration_too_long
data/self/1-1-3/speaker01_xing1_03.wav,2.741500,0.127907,11,4.000000,0.043739,0,duration_too_long
data/self/1-1-3/speaker01_yi1_03.wav,2.741437,0.162791,14,4.000000,0.077588,0,duration_too_long
data/self/1-1-3/speaker01_jiang1_03.wav,2.741437,0.151163,13,4.000000,0.063232,0,duration_too_long
data/self/1-1-3/speaker01_xin1_03.wav,2.741437,0.139535,12,4.000000,0.045460,0,duration_too_long
data/self/1-1-3/speaker01_qing1_03.wav,2.741437,0.325581,28,4.000000,0.050250,0,duration_too_long
data/self/1-1-3/speaker01_gao1_03.wav,2.741437,0.500000,43,4.000000,0.097783,0,duration_too_long
data/self/1-1-3/speaker01_kai1_03.wav,2.741437,0.116279,10,4.000000,0.047019,0,duration_too_long
data/self/1-1-3/speaker01_chi1_03.wav,2.741437,0.104651,9,4.000000,0.054015,0,duration_too_long
data/self/1-1-3/speaker01_he1_03.wav,2.741437,0.267442,23,4.000000,0.039545,0,duration_too_long
data/self/1-1-3/speaker01_ge1_03.wav,2.741437,0.151163,13,4.000000,0.052811,0,duration_too_long
data/self/1-1-3/speaker01_ku1_03.wav,2.741437,0.139535,12,4.000000,0.056680,0,duration_too_long
data/self/1-1-3/speaker01_di1_03.wav,2.741437,0.162791,14,4.000000,0.071271,0,duration_too_long
data/self/1-1-3/speaker01_dong1_03.wav,2.741437,0.151163,13,4.000000,0.048049,0,duration_too_long
data/self/1-1-3/speaker01_xi1_03.wav,2.741437,0.127907,11,4.000000,0.058698,0,duration_too_long
data/self/1-1-3/speaker01_sheng1_03.wav,2.741437,0.453488,39,4.000000,0.039544,0,duration_too_long
data/self/1-1-3/speaker01_guang1_03.wav,2.741437,0.372093,32,4.000000,0.070262,0,duration_too_long
data/self/1-1-3/speaker01_kong1_03.wav,2.741437,0.511628,44,4.000000,0.046316,0,duration_too_long
data/self/1-2-1/speaker01_ma2_01.wav,1.653563,0.288462,15,4.000000,0.051467,0,low_voiced_ratio
data/self/1-2-1/speaker01_cha2_01.wav,1.653563,0.000000,0,0.000000,0.054317,0,low_voiced_ratio
data/self/1-2-1/speaker01_yu2_01.wav,1.653563,0.269231,14,4.000000,0.058726,0,low_voiced_ratio
data/self/1-2-1/speaker01_niu2_01.wav,1.653563,0.346154,18,4.000000,0.060179,0,low_voiced_ratio
data/self/1-2-1/speaker01_ren2_01.wav,1.653563,0.288462,15,4.000000,0.044768,0,low_voiced_ratio
data/self/1-2-1/speaker01_men2_01.wav,1.653563,0.288462,15,4.000000,0.041996,0,low_voiced_ratio
data/self/1-2-1/speaker01_tian2_01.wav,1.653500,0.269231,14,4.000000,0.045467,0,low_voiced_ratio
data/self/1-2-1/speaker01_he2_01.wav,1.653500,0.250000,13,4.000000,0.060429,0,low_voiced_ratio
data/self/1-2-1/speaker01_yun2_01.wav,1.653500,0.288462,15,4.000000,0.048422,0,low_voiced_ratio
data/self/1-2-1/speaker01_chuan2_01.wav,1.653500,0.269231,14,4.000000,0.042502,0,low_voiced_ratio
data/self/1-2-1/speaker01_yang2_01.wav,1.653500,0.326923,17,4.000000,0.048373,0,low_voiced_ratio
data/self/1-2-1/speaker01_chong2_01.wav,1.653500,0.269231,14,4.000000,0.038988,0,low_voiced_ratio
data/self/1-2-1/speaker01_ya2_01.wav,1.653500,0.173077,9,4.000000,0.060117,0,low_voiced_ratio
data/self/1-2-1/speaker01_qiu2_01.wav,1.653500,0.269231,14,4.000000,0.060797,0,low_voiced_ratio
